KDTree,Dim,N,K,Time
KDTree,1,100,1,562.333
KDTree,1,100,5,12200
KDTree,1,100,10,13470
KDTree,1,100,20,14408
KDTree,1,100,50,14001.3
KDTree,1,500,1,794.667
KDTree,1,500,5,48218.7
KDTree,1,500,10,69281
KDTree,1,500,20,74124.3
KDTree,1,500,50,82527.7
KDTree,1,1000,1,886.667
KDTree,1,1000,5,80103
KDTree,1,1000,10,143078
KDTree,1,1000,20,152172
KDTree,1,1000,50,170627
KDTree,1,5000,1,1106.67
KDTree,1,5000,5,194441
KDTree,1,5000,10,689569
KDTree,1,5000,20,712632
KDTree,1,5000,50,829743
KDTree,1,10000,1,1183.67
KDTree,1,10000,5,278894
KDTree,1,10000,10,1.34267e+06
KDTree,1,10000,20,1.42322e+06
KDTree,1,10000,50,1.60792e+06
KDTree,2,100,1,2344
KDTree,2,100,5,8514.33
KDTree,2,100,10,14239.7
KDTree,2,100,20,18392
KDTree,2,100,50,21745.3
KDTree,2,500,1,6271.67
KDTree,2,500,5,29405
KDTree,2,500,10,42747
KDTree,2,500,20,59669
KDTree,2,500,50,87057
KDTree,2,1000,1,5681
KDTree,2,1000,5,34224
KDTree,2,1000,10,63985.3
KDTree,2,1000,20,94216.3
KDTree,2,1000,50,147355
KDTree,2,5000,1,14911.7
KDTree,2,5000,5,90840.7
KDTree,2,5000,10,162415
KDTree,2,5000,20,250881
KDTree,2,5000,50,425141
KDTree,2,10000,1,13121.3
KDTree,2,10000,5,136383
KDTree,2,10000,10,240743
KDTree,2,10000,20,368426
KDTree,2,10000,50,613000
KDTree,3,100,1,3539
KDTree,3,100,5,11580.7
KDTree,3,100,10,16885
KDTree,3,100,20,22899.7
KDTree,3,100,50,25275.3
KDTree,3,500,1,11156.7
KDTree,3,500,5,34495
KDTree,3,500,10,50418.3
KDTree,3,500,20,70829
KDTree,3,500,50,109582
KDTree,3,1000,1,18063.3
KDTree,3,1000,5,48642.3
KDTree,3,1000,10,71568.7
KDTree,3,1000,20,104619
KDTree,3,1000,50,169321
KDTree,3,5000,1,28999.7
KDTree,3,5000,5,78195.3
KDTree,3,5000,10,133827
KDTree,3,5000,20,210347
KDTree,3,5000,50,362112
KDTree,3,10000,1,39779.3
KDTree,3,10000,5,116702
KDTree,3,10000,10,185498
KDTree,3,10000,20,288206
KDTree,3,10000,50,515753
KDTree,4,100,1,5303.67
KDTree,4,100,5,15333.7
KDTree,4,100,10,20744
KDTree,4,100,20,26191
KDTree,4,100,50,31646.3
KDTree,4,500,1,26308
KDTree,4,500,5,49129
KDTree,4,500,10,67308.3
KDTree,4,500,20,94335.3
KDTree,4,500,50,139140
KDTree,4,1000,1,29948
KDTree,4,1000,5,67998
KDTree,4,1000,10,95973.3
KDTree,4,1000,20,136885
KDTree,4,1000,50,216316
KDTree,4,5000,1,55157.3
KDTree,4,5000,5,127018
KDTree,4,5000,10,193953
KDTree,4,5000,20,277468
KDTree,4,5000,50,470178
KDTree,4,10000,1,79265.3
KDTree,4,10000,5,166843
KDTree,4,10000,10,247310
KDTree,4,10000,20,368439
KDTree,4,10000,50,628104
KDTree,5,100,1,10520.7
KDTree,5,100,5,17877.7
KDTree,5,100,10,25032.7
KDTree,5,100,20,32872.7
KDTree,5,100,50,37646
KDTree,5,500,1,35317.7
KDTree,5,500,5,64361.3
KDTree,5,500,10,84606
KDTree,5,500,20,110392
KDTree,5,500,50,164585
KDTree,5,1000,1,56008.3
KDTree,5,1000,5,100631
KDTree,5,1000,10,132855
KDTree,5,1000,20,181443
KDTree,5,1000,50,271305
KDTree,5,5000,1,99970.3
KDTree,5,5000,5,200131
KDTree,5,5000,10,276539
KDTree,5,5000,20,398220
KDTree,5,5000,50,653680
KDTree,5,10000,1,126911
KDTree,5,10000,5,270351
KDTree,5,10000,10,366093
KDTree,5,10000,20,517856
KDTree,5,10000,50,845202
KDTree,6,100,1,13414.3
KDTree,6,100,5,22023.7
KDTree,6,100,10,29047.3
KDTree,6,100,20,37028
KDTree,6,100,50,42996.7
KDTree,6,500,1,54321.7
KDTree,6,500,5,83950.7
KDTree,6,500,10,100625
KDTree,6,500,20,126126
KDTree,6,500,50,175314
KDTree,6,1000,1,90587.7
KDTree,6,1000,5,140444
KDTree,6,1000,10,174881
KDTree,6,1000,20,238344
KDTree,6,1000,50,310194
KDTree,6,5000,1,210508
KDTree,6,5000,5,355486
KDTree,6,5000,10,443819
KDTree,6,5000,20,585591
KDTree,6,5000,50,815100
KDTree,6,10000,1,238091
KDTree,6,10000,5,438953
KDTree,6,10000,10,569719
KDTree,6,10000,20,762294
KDTree,6,10000,50,1.13815e+06
KDTree,7,100,1,15664
KDTree,7,100,5,22746.7
KDTree,7,100,10,29526.3
KDTree,7,100,20,38898.7
KDTree,7,100,50,47305
KDTree,7,500,1,77234.7
KDTree,7,500,5,104691
KDTree,7,500,10,124989
KDTree,7,500,20,152334
KDTree,7,500,50,215974
KDTree,7,1000,1,87476.3
KDTree,7,1000,5,170576
KDTree,7,1000,10,201146
KDTree,7,1000,20,243981
KDTree,7,1000,50,331291
KDTree,7,5000,1,309599
KDTree,7,5000,5,506664
KDTree,7,5000,10,619676
KDTree,7,5000,20,759161
KDTree,7,5000,50,1.00839e+06
KDTree,7,10000,1,396485
KDTree,7,10000,5,688911
KDTree,7,10000,10,854957
KDTree,7,10000,20,1.09639e+06
KDTree,7,10000,50,1.51557e+06
